industry,sub_industry,total_market_cap,num_of_companies,companies,top_mcap_gainers,top_price_change
Specialty Retail,Home Improvement Retail,60006734839808,7,"[{""symbol"":""MDIY.JK"",""name"":""PT Daya Intiguna Yasa Tbk"",""market_cap_rank"":45,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":7.5,""maxpoint"":10.5},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.714Z""}]},{""symbol"":""ACES.JK"",""name"":""PT Aspirasi Hidup Indonesia Tbk"",""market_cap_rank"":123,""employee_num"":14201,""point_summaries"":[{""name"":""value"",""point"":6.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":17,""maxpoint"":27},{""name"":""dividend"",""point"":7.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:56.966Z""}]},{""symbol"":""CSAP.JK"",""name"":""Catur Sentosa Adiprana Tbk"",""market_cap_rank"":278,""employee_num"":9522,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":4,""maxpoint"":27},{""name"":""dividend"",""point"":5,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.274Z""}]}]","{""symbol"":""MDIY.JK"",""name"":""PT Daya Intiguna Yasa Tbk"",""market_cap_change"":9.53254719528799}","{""symbol"":""KLIN.JK"",""name"":""PT Klinko Karya Imaji Tbk"",""price_change"":5.75}"
Processed Foods,Dairy Products,59060271202304,5,"[{""symbol"":""CMRY.JK"",""name"":""PT Cisarua Mountain Dairy Tbk"",""market_cap_rank"":55,""employee_num"":857,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":12,""maxpoint"":25.5},{""name"":""future"",""point"":18,""maxpoint"":30},{""name"":""financials"",""point"":9.5,""maxpoint"":12},{""name"":""dividend"",""point"":6,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.267Z""}]},{""symbol"":""ULTJ.JK"",""name"":""PT Ultrajaya Milk Industry & Trading Company Tbk"",""market_cap_rank"":100,""employee_num"":1373,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":23},{""name"":""competitive"",""point"":8.5,""maxpoint"":25.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":25.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.152Z""}]},{""symbol"":""KEJU.JK"",""name"":""PT Mulia Boga Raya Tbk"",""market_cap_rank"":203,""employee_num"":355,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":12},{""name"":""dividend"",""point"":11,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.629Z""}]}]","{""symbol"":""KEJU.JK"",""name"":""PT Mulia Boga Raya Tbk"",""market_cap_change"":1.64130419751038}","{""symbol"":""CMRY.JK"",""name"":""PT Cisarua Mountain Dairy Tbk"",""price_change"":0.353383458646617}"
Forestry & Paper,Paper,54620996689919,6,"[{""symbol"":""INKP.JK"",""name"":""Indah Kiat Pulp & Paper Tbk"",""market_cap_rank"":57,""employee_num"":11000,""point_summaries"":[{""name"":""value"",""point"":17.5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":9.5,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-07T23:01:57.130Z""}]},{""symbol"":""TKIM.JK"",""name"":""Pabrik Kertas Tjiwi Kimia Tbk"",""market_cap_rank"":93,""employee_num"":5300,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:43.793Z""}]},{""symbol"":""INRU.JK"",""name"":""Toba Pulp Lestari Tbk"",""market_cap_rank"":506,""employee_num"":1129,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-09T23:02:53.580Z""}]}]","{""symbol"":""INTD.JK"",""name"":""Inter-Delta Tbk"",""market_cap_change"":0.522388072035518}","{""symbol"":""INTD.JK"",""name"":""Inter-Delta Tbk"",""price_change"":0.522388059701492}"
Specialty Retail,Apparel & Textile Retail,52728421941248,5,"[{""symbol"":""MAPA.JK"",""name"":""PT MAP Aktif Adiperkasa Tbk."",""market_cap_rank"":73,""employee_num"":13086,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":3,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.695Z""}]},{""symbol"":""MAPI.JK"",""name"":""Mitra Adiperkasa Tbk"",""market_cap_rank"":84,""employee_num"":29569,""point_summaries"":[{""name"":""value"",""point"":7.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":30,""maxpoint"":30},{""name"":""financials"",""point"":10,""maxpoint"":27},{""name"":""dividend"",""point"":3,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.695Z""}]},{""symbol"":""BABY.JK"",""name"":""PT Multitrend Indo Tbk."",""market_cap_rank"":441,""employee_num"":1085,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.400Z""}]}]","{""symbol"":""BABY.JK"",""name"":""PT Multitrend Indo Tbk."",""market_cap_change"":0.905680725021342}","{""symbol"":""BABY.JK"",""name"":""PT Multitrend Indo Tbk."",""price_change"":0.943820224719101}"
Consumer Financing,Consumer Financing,51954317656064,15,"[{""symbol"":""MFIN.JK"",""name"":""PT Mandala Multifinance Tbk."",""market_cap_rank"":90,""employee_num"":6189,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":10.5,""maxpoint"":18},{""name"":""financials"",""point"":11,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.918Z""}]},{""symbol"":""BFIN.JK"",""name"":""BFI Finance Indonesia Tbk"",""market_cap_rank"":119,""employee_num"":5838,""point_summaries"":[{""name"":""value"",""point"":2.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":18.5,""maxpoint"":30},{""name"":""financials"",""point"":6.5,""maxpoint"":27},{""name"":""dividend"",""point"":16,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.419Z""}]},{""symbol"":""ADMF.JK"",""name"":""Adira Dinamika Multi Finance Tbk"",""market_cap_rank"":149,""employee_num"":14909,""point_summaries"":[{""name"":""value"",""point"":9.5,""maxpoint"":20},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":10.5,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":7.5},{""name"":""dividend"",""point"":13,""maxpoint"":19.5},{""updatedAt"":""2025-01-11T23:03:50.840Z""}]}]","{""symbol"":""TRUS.JK"",""name"":""Trust Finance Indonesia Tbk"",""market_cap_change"":1.30366499781475}","{""symbol"":""TRUS.JK"",""name"":""Trust Finance Indonesia Tbk"",""price_change"":1.30366492146597}"
Oil & Gas,Oil & Gas Production & Refinery,50424752795648,5,"[{""symbol"":""MEDC.JK"",""name"":""PT Medco Energi Internasional Tbk"",""market_cap_rank"":68,""employee_num"":3360,""point_summaries"":[{""name"":""value"",""point"":10.5,""maxpoint"":20},{""name"":""competitive"",""point"":12,""maxpoint"":25.5},{""name"":""future"",""point"":6.5,""maxpoint"":30},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":11,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.906Z""}]},{""symbol"":""RATU.JK"",""name"":""PT Raharja Energi Cepu Tbk"",""market_cap_rank"":150,""employee_num"":null,""point_summaries"":null},{""symbol"":""ENRG.JK"",""name"":""Energi Mega Persada Tbk"",""market_cap_rank"":179,""employee_num"":570,""point_summaries"":[{""name"":""value"",""point"":15,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.354Z""}]}]","{""symbol"":""SURE.JK"",""name"":""PT Super Energy Tbk."",""market_cap_change"":1.17272731034026}","{""symbol"":""SURE.JK"",""name"":""PT Super Energy Tbk."",""price_change"":1.17272727272727}"
Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,40629793658880,29,"[{""symbol"":""WIKA.JK"",""name"":""PT Wijaya Karya (Persero) Tbk"",""market_cap_rank"":142,""employee_num"":3920,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":23},{""name"":""competitive"",""point"":16.5,""maxpoint"":21},{""name"":""future"",""point"":16.5,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:52.581Z""}]},{""symbol"":""WSKT.JK"",""name"":""PT Waskita Karya (Persero) Tbk"",""market_cap_rank"":183,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":20},{""name"":""competitive"",""point"":10.5,""maxpoint"":15},{""name"":""future"",""point"":16.5,""maxpoint"":18},{""name"":""financials"",""point"":1,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.461Z""}]},{""symbol"":""SSIA.JK"",""name"":""PT Surya Semesta Internusa Tbk"",""market_cap_rank"":198,""employee_num"":2639,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":23},{""name"":""competitive"",""point"":19.5,""maxpoint"":21},{""name"":""future"",""point"":28.5,""maxpoint"":30},{""name"":""financials"",""point"":10.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:58.070Z""}]}]","{""symbol"":""RONY.JK"",""name"":""PT Aesler Grup Internasional Tbk"",""market_cap_change"":5.13175640729525}","{""symbol"":""RONY.JK"",""name"":""PT Aesler Grup Internasional Tbk"",""price_change"":5.13175675675676}"
Auto Components,Auto Parts & Equipment,35729883353599,13,"[{""symbol"":""SMSM.JK"",""name"":""Selamat Sempurna Tbk"",""market_cap_rank"":139,""employee_num"":3118,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":24.5,""maxpoint"":27},{""name"":""dividend"",""point"":16.5,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:43.672Z""}]},{""symbol"":""AUTO.JK"",""name"":""Astra Otoparts Tbk"",""market_cap_rank"":140,""employee_num"":7236,""point_summaries"":[{""name"":""value"",""point"":13.5,""maxpoint"":20},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":11.5,""maxpoint"":30},{""name"":""financials"",""point"":24,""maxpoint"":27},{""name"":""dividend"",""point"":16,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:52.900Z""}]},{""symbol"":""VKTR.JK"",""name"":""PT VKTR Teknologi Mobilitas Tbk"",""market_cap_rank"":197,""employee_num"":1339,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":9.5,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":12.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.205Z""}]}]","{""symbol"":""BOLT.JK"",""name"":""PT Garuda Metalindo Tbk."",""market_cap_change"":0.768707395001257}","{""symbol"":""BOLT.JK"",""name"":""PT Garuda Metalindo Tbk."",""price_change"":0.768707482993197}"
Building Products & Fixtures,Building Products & Fixtures,33454277994496,14,"[{""symbol"":""IMPC.JK"",""name"":""PT Impack Pratama Industri Tbk"",""market_cap_rank"":94,""employee_num"":2698,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":18,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":19.5},{""updatedAt"":""2025-01-07T23:01:57.110Z""}]},{""symbol"":""ARNA.JK"",""name"":""Arwana Citramulia Tbk"",""market_cap_rank"":209,""employee_num"":2294,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":21.5,""maxpoint"":27},{""name"":""dividend"",""point"":10,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:56.344Z""}]},{""symbol"":""SINI.JK"",""name"":""PT Singaraja Putra Tbk."",""market_cap_rank"":298,""employee_num"":308,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":9.5,""maxpoint"":16.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:39.242Z""}]}]","{""symbol"":""SINI.JK"",""name"":""PT Singaraja Putra Tbk."",""market_cap_change"":4.20833333037653}","{""symbol"":""SINI.JK"",""name"":""PT Singaraja Putra Tbk."",""price_change"":4.20833333333333}"
Containers & Packaging,Containers & Packaging,28044128864256,20,"[{""symbol"":""FASW.JK"",""name"":""Fajar Surya Wisesa Tbk"",""market_cap_rank"":124,""employee_num"":3176,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":20},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.561Z""}]},{""symbol"":""PBID.JK"",""name"":""PT Panca Budi Idaman Tbk"",""market_cap_rank"":227,""employee_num"":5522,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":20},{""name"":""competitive"",""point"":18,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":22,""maxpoint"":27},{""name"":""dividend"",""point"":10,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.044Z""}]},{""symbol"":""PACK.JK"",""name"":""PT Solusi Kemasan Digital Tbk"",""market_cap_rank"":312,""employee_num"":90,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":5.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-01T23:02:36.706Z""}]}]","{""symbol"":""PACK.JK"",""name"":""PT Solusi Kemasan Digital Tbk"",""market_cap_change"":16.1415538231309}","{""symbol"":""PACK.JK"",""name"":""PT Solusi Kemasan Digital Tbk"",""price_change"":16.0833333333333}"
Chemicals,Specialty Chemicals,27408982294528,7,"[{""symbol"":""AVIA.JK"",""name"":""PT Avia Avian Tbk"",""market_cap_rank"":77,""employee_num"":1473,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":7.5,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":30},{""name"":""financials"",""point"":24,""maxpoint"":27},{""name"":""dividend"",""point"":11,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:50.942Z""}]},{""symbol"":""APLI.JK"",""name"":""Asiaplast Industries Tbk"",""market_cap_rank"":483,""employee_num"":182,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:52.856Z""}]},{""symbol"":""EKAD.JK"",""name"":""Ekadharma International Tbk"",""market_cap_rank"":484,""employee_num"":520,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":4.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:42.792Z""}]}]","{""symbol"":""CLPI.JK"",""name"":""Colorpak Indonesia Tbk"",""market_cap_change"":0.0761421314284479}","{""symbol"":""CLPI.JK"",""name"":""Colorpak Indonesia Tbk"",""price_change"":0.0761421319796954}"
Beverages,Soft Drinks,23464948920320,5,"[{""symbol"":""CLEO.JK"",""name"":""PT Sariguna Primatirta Tbk"",""market_cap_rank"":95,""employee_num"":529,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":24,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.252Z""}]},{""symbol"":""ADES.JK"",""name"":""Akasha Wira International Tbk  Tbk"",""market_cap_rank"":193,""employee_num"":431,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":23,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-11T23:03:50.838Z""}]},{""symbol"":""GRPM.JK"",""name"":""PT Graha Prima Mentari Tbk."",""market_cap_rank"":766,""employee_num"":232,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":2,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.601Z""}]}]","{""symbol"":""CLEO.JK"",""name"":""PT Sariguna Primatirta Tbk"",""market_cap_change"":1.25000007827998}","{""symbol"":""CLEO.JK"",""name"":""PT Sariguna Primatirta Tbk"",""price_change"":1.25}"
Logistics & Deliveries,Logistics & Deliveries,22435865188352,25,"[{""symbol"":""TMAS.JK"",""name"":""PT Temas Tbk."",""market_cap_rank"":160,""employee_num"":663,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":3},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":10,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.116Z""}]},{""symbol"":""SMDR.JK"",""name"":""Samudera Indonesia Tbk"",""market_cap_rank"":211,""employee_num"":4721,""point_summaries"":[{""name"":""value"",""point"":11,""maxpoint"":20},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":3},{""name"":""financials"",""point"":10,""maxpoint"":27},{""name"":""dividend"",""point"":19.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.997Z""}]},{""symbol"":""ELPI.JK"",""name"":""PT Pelayaran Nasional Ekalya Purnamasari Tbk"",""market_cap_rank"":276,""employee_num"":968,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":3},{""name"":""financials"",""point"":17,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.545Z""}]}]","{""symbol"":""RCCC.JK"",""name"":""PT Utama Radar Cahaya Tbk"",""market_cap_change"":2.14102581576916}","{""symbol"":""RCCC.JK"",""name"":""PT Utama Radar Cahaya Tbk"",""price_change"":1.99145299145299}"
Media,Broadcasting,21033042853888,6,"[{""symbol"":""SCMA.JK"",""name"":""Surya Citra Media Tbk"",""market_cap_rank"":128,""employee_num"":4250,""point_summaries"":[{""name"":""value"",""point"":7.5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":19.5,""maxpoint"":27},{""name"":""dividend"",""point"":11,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.967Z""}]},{""symbol"":""NETV.JK"",""name"":""PT MDTV Media Technologies Tbk"",""market_cap_rank"":201,""employee_num"":514,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":7,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.790Z""}]},{""symbol"":""MNCN.JK"",""name"":""Media Nusantara Citra Tbk"",""market_cap_rank"":228,""employee_num"":6179,""point_summaries"":[{""name"":""value"",""point"":15,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":30},{""name"":""financials"",""point"":17,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.752Z""}]}]","{""symbol"":""NETV.JK"",""name"":""PT MDTV Media Technologies Tbk"",""market_cap_change"":2.34772435848556}","{""symbol"":""SCMA.JK"",""name"":""Surya Citra Media Tbk"",""price_change"":0.0915032679738562}"
Tourism & Recreation,Recreational & Sports Facilities,20749017645056,5,"[{""symbol"":""CNMA.JK"",""name"":""PT Nusantara Sejahtera Raya Tbk"",""market_cap_rank"":115,""employee_num"":1343,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":20},{""name"":""competitive"",""point"":18,""maxpoint"":25.5},{""name"":""future"",""point"":19.5,""maxpoint"":30},{""name"":""financials"",""point"":20,""maxpoint"":27},{""name"":""dividend"",""point"":9,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.485Z""}]},{""symbol"":""GOLF.JK"",""name"":""PT Intra GolfLink Resorts Tbk"",""market_cap_rank"":217,""employee_num"":175,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":23},{""name"":""competitive"",""point"":8,""maxpoint"":15},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":25,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.585Z""}]},{""symbol"":""BLTZ.JK"",""name"":""PT Graha Layar Prima Tbk."",""market_cap_rank"":354,""employee_num"":326,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":23},{""name"":""competitive"",""point"":4.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.151Z""}]}]","{""symbol"":""BLTZ.JK"",""name"":""PT Graha Layar Prima Tbk."",""market_cap_change"":-0.0243902064300509}","{""symbol"":""BLTZ.JK"",""name"":""PT Graha Layar Prima Tbk."",""price_change"":-0.024390243902439}"
Specialty Retail,Electronics Retail,19720954576896,7,"[{""symbol"":""TRIO.JK"",""name"":""Trikomsel Oke Tbk"",""market_cap_rank"":133,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":23},{""name"":""competitive"",""point"":5.5,""maxpoint"":15},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":7,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.131Z""}]},{""symbol"":""ERAA.JK"",""name"":""Erajaya Swasembada Tbk"",""market_cap_rank"":181,""employee_num"":5575,""point_summaries"":[{""name"":""value"",""point"":10.5,""maxpoint"":17},{""name"":""competitive"",""point"":6.5,""maxpoint"":21},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":3.5,""maxpoint"":21},{""name"":""dividend"",""point"":10.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:51.419Z""}]},{""symbol"":""ERAL.JK"",""name"":""PT Sinar Eka Selaras Tbk"",""market_cap_rank"":389,""employee_num"":408,""point_summaries"":[{""name"":""value"",""point"":7,""maxpoint"":20},{""name"":""competitive"",""point"":3,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":18,""maxpoint"":27},{""name"":""dividend"",""point"":7.5,""maxpoint"":21.5},{""updatedAt"":""2024-12-27T23:02:28.217Z""}]}]","{""symbol"":""UFOE.JK"",""name"":""PT Damai Sejahtera Abadi Tbk"",""market_cap_change"":0.414922596949688}","{""symbol"":""UFOE.JK"",""name"":""PT Damai Sejahtera Abadi Tbk"",""price_change"":0.116751269035533}"
